seed,beam_width,max_steps,sample_size,corr_hc_total,mean_hc_frontier,mean_hc_non_frontier,delta_hc_frontier_non_frontier,hc_mean_all,hc_stddev_all,hc_min_all,hc_max_all
46,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
46,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
46,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
46,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
46,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
47,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
47,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
47,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
47,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
47,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
47,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
48,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
48,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
48,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
48,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
48,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
48,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
49,1,10,30,0.453645,0.842566,0.468076,0.37449,0.480559,0.156727,0.372221,0.842566
49,1,25,75,0.440951,0.842566,0.472113,0.370453,0.477052,0.154136,0.372221,0.842566
49,3,10,90,0.41264,0.486781,0.453599,0.033182,0.457286,0.14724,0.30402,0.793646
49,3,25,225,0.395638,0.474122,0.457726,0.016396,0.458455,0.142463,0.30402,0.793646
49,5,10,150,0.407862,0.469149,0.453453,0.015696,0.455336,0.146372,0.303507,0.789279
49,5,25,375,0.39067,0.457565,0.456684,0.000881,0.456726,0.141454,0.303507,0.789279
