depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count,alpha_t,weak_contrib_ratio,collapse_proxy
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,1.548692107,2.625177622,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,539.387451172,934.246459961,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.043268725,0.500000000,0.996079981,0.000000000,0.006603669,0.000000000,0.000000000,4.780563831,"false",global_robust,3,3,3.194700956,539.387451172,5.533384323,934.246459961,27,12,2,3,0.100000001,0.166666672,0.000000000
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,9,1.753054261,1.337949872,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,9,101.529563904,286.356231689,0.788328588,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.046236731,0.555997312,0.996079981,0.014550000,0.013332775,0.284146607,0.000600000,4.780563831,"false",global_robust,9,0,0.750937819,101.529563904,0.904258192,286.356231689,324,144,0,4,0.100000001,0.000000000,0.000000000
3,0.487509400,-0.004008497,0.000000000,0.000000000,0.000000000,0,1.000000000,9,2.181337118,0.977003932,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,129,"ConstraintPropagation:13|Cost:8|Performance:8|Refactor:44|Reliability:24|Structural:32",1.601699352,6,9,241.236083984,405.427825928,0.314392447,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.729687095,0.996079981,0.014550000,0.000000000,0.229687080,0.000600000,4.780563831,"false",global_robust,9,1,0.734404802,241.236083984,0.886745453,405.427825928,324,144,1,4,0.100000001,0.032258064,0.000000000
4,0.483702064,-0.003807331,0.000000000,0.000000000,0.000000000,0,1.000000000,13,15.071601868,1.271642447,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,124,"ConstraintPropagation:10|Cost:6|Performance:8|Refactor:44|Reliability:24|Structural:32",1.561466098,6,13,163.846481323,346.610778809,0.888403594,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.849684298,0.996159971,0.028650001,0.000000000,0.150315672,0.000600000,4.780563831,"false",global_robust,13,1,0.627327800,163.846481323,0.784408033,346.610778809,702,312,1,4,0.100000001,0.032258064,0.000000000
5,0.479888082,-0.003813982,0.000000000,0.000000000,0.000000000,0,1.000000000,7,2.734556675,1.792478442,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,125,"ConstraintPropagation:11|Cost:6|Performance:8|Refactor:46|Reliability:24|Structural:30",1.562796474,6,7,344.044311523,434.059814453,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.895075977,0.996159971,0.029100001,0.000000000,0.104924001,0.000680000,4.780563831,"false",global_robust,7,1,0.801549137,344.044311523,1.025274634,434.059814453,189,84,1,4,0.100000001,0.032258064,0.000000000
6,0.475987375,-0.003900710,0.000000000,0.000000000,0.000000000,0,1.000000000,8,3.478990078,1.674697161,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,84,"ConstraintPropagation:9|Cost:4|Performance:5|Refactor:30|Reliability:18|Structural:18",1.580141902,6,8,933.367248535,2205.162353516,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.889707148,0.000000000,0.921738565,0.996159971,0.026957143,0.000000000,0.078261465,0.000680000,4.780563831,"false",global_robust,8,1,1.798014402,933.367248535,4.132696152,2205.162353516,252,112,1,4,0.100000001,0.032258064,0.000000000
7,0.472033620,-0.003953754,0.000000000,0.000000000,0.000000000,0,1.000000000,2,0.012248768,2.241704702,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,124,"ConstraintPropagation:14|Cost:7|Performance:7|Refactor:44|Reliability:23|Structural:29",1.590750694,6,2,14.465753555,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.931970477,0.996079981,0.029999999,0.000000000,0.068029508,0.000940000,4.780563831,"false",global_robust,2,1,1.813086987,14.465753555,0.000000000,0.000000000,9,4,1,4,0.100000001,0.032258064,0.000000000
8,0.472567886,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,4,0.426956415,1.420240760,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,8,"Refactor:4|Reliability:4",0.693147182,2,4,27.284025192,7.271737576,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.931970477,0.996079981,0.029999999,0.000000000,0.068029508,0.001120000,4.780563831,"false",global_robust,4,1,3.145364046,27.284025192,0.255643308,7.271737576,54,24,1,4,0.100000001,0.032258064,0.000000000
9,0.469887823,-0.002680037,0.000000000,0.000000000,0.000000000,0,1.000000000,7,8889.118164062,0.722779214,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,36,"ConstraintPropagation:2|Performance:2|Refactor:16|Reliability:10|Structural:6",1.336007357,5,7,1920.504272461,5069.134277344,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.930267394,0.996079981,0.029999999,0.000000000,0.069732577,0.001200000,4.780563831,"false",global_robust,7,1,95.935554504,1920.504272461,252.142730713,5069.134277344,189,84,1,4,0.100000001,0.032258064,0.000000000
10,0.467299253,-0.002588585,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.095410302,0.810222983,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,61,"ConstraintPropagation:4|Performance:4|Refactor:30|Reliability:15|Structural:8",1.317717075,5,10,3.763945818,8.390771866,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.933644056,0.996159971,0.038199998,0.000000000,0.066355914,0.001280000,4.780563831,"false",global_robust,10,1,0.345011234,3.763945818,0.729931116,8.390771866,405,180,1,4,0.100000001,0.032258064,0.000000000
