depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,1.491822720,3.808333397,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,624.701965332,1082.015502930,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.074698493,0.500000000,0.996079981,0.000000000,0.006518029,0.000000000,0.000000000,66.187179565,false,"global_robust",3,3,3.117849112,624.701965332,5.400273323,1082.015502930,27,12,2,3
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,10,1.564140558,1.217485547,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,10,0.734662771,1.548802972,0.788328588,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.078958064,0.536893308,0.996079981,0.014550000,0.024245827,0.305425048,0.000600000,66.187179565,false,"global_robust",10,0,0.359222710,0.734662771,0.777926445,1.548802972,405,180,0,4
3,0.487546504,-0.003971369,0.000000000,0.000000000,0.000000000,0,1.000000000,24,3.105943918,1.241494536,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,158,"ConstraintPropagation:14|Cost:10|Performance:10|Refactor:54|Reliability:30|Structural:40",1.594273925,6,24,96.095939636,341.733184814,0.856880844,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.033083536,0.822442591,0.996420026,0.014550000,0.033083536,0.177557424,0.000340000,66.187179565,false,"global_robust",24,0,0.318214089,96.095939636,0.568400621,341.733184814,2484,1104,0,4
4,0.483680516,-0.003866001,0.000000000,0.000000000,0.000000000,0,1.000000000,12,7.895655632,0.847875178,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,195,"ConstraintPropagation:17|Cost:11|Performance:12|Refactor:70|Reliability:36|Structural:49",1.573200107,6,12,294.785583496,379.760070801,0.897122324,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.898617327,0.996159971,0.029100001,0.000000000,0.101382680,0.000680000,66.187179565,false,"global_robust",12,1,0.739090025,294.785583496,0.825997233,379.760070801,594,264,1,4
5,0.480020285,-0.003660227,0.000000000,0.000000000,0.000000000,0,1.000000000,17,0.378801078,1.674656391,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,181,"ConstraintPropagation:15|Cost:6|Performance:12|Refactor:68|Reliability:36|Structural:44",1.532045484,6,17,101.354164124,180.303207397,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.915651679,0.996159971,0.029100001,0.000000000,0.084348336,0.000680000,66.187179565,false,"global_robust",17,1,0.335067451,101.354164124,0.476897091,180.303207397,1224,544,1,4
6,0.476259410,-0.003760874,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.582569242,2.113625526,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,168,"ConstraintPropagation:15|Cost:8|Performance:11|Refactor:66|Reliability:32|Structural:36",1.552174807,6,10,100.159370422,227.732406616,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.937784493,0.996159971,0.029999999,0.000000000,0.062215477,0.000760000,66.187179565,false,"global_robust",10,1,0.191300437,100.159370422,0.404199421,227.732406616,405,180,1,4
7,0.472598135,-0.003661277,0.000000000,0.000000000,0.000000000,0,1.000000000,12,0.509092331,1.364296913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,122,"ConstraintPropagation:8|Cost:7|Performance:7|Refactor:48|Reliability:27|Structural:25",1.532255411,6,12,50.041706085,90.528945923,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.942647159,0.996159971,0.029999999,0.000000000,0.057352856,0.001020000,66.187179565,false,"global_robust",12,1,0.147467509,50.041706085,0.295556188,90.528945923,594,264,1,4
8,0.468903184,-0.003694964,0.000000000,0.000000000,0.000000000,0,1.000000000,17,1.250387669,1.386441588,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,146,"ConstraintPropagation:12|Cost:8|Performance:9|Refactor:60|Reliability:30|Structural:27",1.538992763,6,17,27.015275955,76.261405945,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.909792840,0.000000000,0.949308634,0.996159971,0.036157142,0.000000000,0.050691340,0.001200000,66.187179565,false,"global_robust",17,1,0.098672792,27.015275955,0.299333215,76.261405945,1224,544,1,4
9,0.465627521,-0.003275655,0.000000000,0.000000000,0.000000000,0,1.000000000,6,12.895047188,2.151564360,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,127,"ConstraintPropagation:9|Cost:5|Performance:9|Refactor:60|Reliability:27|Structural:17",1.455130935,6,6,537.146484375,722.080444336,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.956550300,0.996159971,0.037050001,0.000000000,0.043449719,0.001280000,66.187179565,false,"global_robust",6,1,4.894773960,537.146484375,8.816678047,722.080444336,135,60,1,4
10,0.462134749,-0.003492760,0.000000000,0.000000000,0.000000000,0,1.000000000,16,100.307456970,1.036250114,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,68,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:32|Reliability:13|Structural:8",1.498551965,6,16,173.038345337,278.422760010,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.923200011,0.000000000,0.959131539,0.996159971,0.033492856,0.000000000,0.040868443,0.001280000,66.187179565,false,"global_robust",16,1,1.564455628,173.038345337,2.958776236,278.422760010,1080,480,1,4
11,0.458546788,-0.003587957,0.000000000,0.000000000,0.000000000,0,1.000000000,14,0.091152206,1.994293809,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,155,"ConstraintPropagation:12|Cost:8|Performance:11|Refactor:68|Reliability:30|Structural:26",1.517591476,6,14,92.287330627,240.282867432,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.923200011,0.000000000,0.959131539,0.996159971,0.033492856,0.000000000,0.040868443,0.001280000,66.187179565,false,"global_robust",14,1,0.412486583,92.287330627,0.886502206,240.282867432,819,364,1,4
