depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,1.491822720,3.808333397,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,732.242187500,1268.280639648,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.074698493,0.500000000,0.996079981,0.000000000,0.006518029,0.000000000,0.000000000,257.747314453,false,"global_robust",3,3,3.117849112,732.242187500,5.400273323,1268.280639648,27,12,2,3
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,10,1.486213923,1.114571452,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,10,0.721393704,1.520829320,0.788328588,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.075675100,0.536893308,0.996079981,0.014550000,0.030597370,0.305425048,0.000600000,257.747314453,true,"global_robust",10,0,0.359195143,0.721393704,0.777868748,1.520829320,405,180,0,4
3,0.487579614,-0.003938276,0.000000000,0.000000000,0.000000000,0,1.000000000,22,1.105143905,0.781048536,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,130,"ConstraintPropagation:12|Cost:8|Performance:8|Refactor:46|Reliability:24|Structural:32",1.587655306,6,22,86.385833740,214.730667114,0.356880933,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.803878665,0.996079981,0.014550000,0.000000000,0.196121335,0.000680000,257.747314453,false,"global_robust",22,1,0.759155154,86.385833740,2.202889681,214.730667114,2079,924,1,4
4,0.483697742,-0.003881852,0.000000000,0.000000000,0.000000000,0,1.000000000,11,4.796824455,0.538585246,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,130,"ConstraintPropagation:12|Cost:7|Performance:8|Refactor:46|Reliability:24|Structural:33",1.576370358,6,11,332.357482910,532.848022461,0.397122353,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.881472230,0.996079981,0.028650001,0.000000000,0.118527770,0.000680000,257.747314453,false,"global_robust",11,1,2.100731850,332.357482910,5.049294949,532.848022461,495,220,1,4
5,0.480025381,-0.003672381,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.443783671,2.121080160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,122,"ConstraintPropagation:9|Cost:5|Performance:8|Refactor:46|Reliability:24|Structural:30",1.534476280,6,10,195.917587280,204.028366089,0.999999881,0.000000000,0.000000000,0.000000000,0.000000000,0.889707148,0.000000000,0.905245245,0.996159971,0.021428572,0.000000000,0.094754770,0.000680000,257.747314453,false,"global_robust",10,1,0.574041843,195.917587280,0.552146912,204.028366089,405,180,1,4
6,0.476153344,-0.003872029,0.000000000,0.000000000,0.000000000,0,1.000000000,5,1.148226738,2.346934795,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,114,"ConstraintPropagation:11|Cost:6|Performance:7|Refactor:42|Reliability:22|Structural:26",1.574405909,6,5,1315.231567383,1586.825683594,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.937636912,0.996079981,0.029999999,0.000000000,0.062363088,0.000680000,257.747314453,false,"global_robust",5,1,2.498020649,1315.231567383,2.475648165,1586.825683594,90,40,1,4
7,0.472337335,-0.003816016,0.000000000,0.000000000,0.000000000,0,1.000000000,9,1.078545570,2.749686480,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,71,"ConstraintPropagation:6|Cost:4|Performance:4|Refactor:26|Reliability:14|Structural:17",1.563203096,6,9,635.229614258,1358.970214844,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.947610617,0.996079981,0.029999999,0.000000000,0.052389380,0.000680000,257.747314453,false,"global_robust",9,1,1.443547845,635.229614258,2.787836075,1358.970214844,324,144,1,4
8,0.468546331,-0.003790993,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.824814796,1.672684550,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,119,"ConstraintPropagation:9|Cost:7|Performance:7|Refactor:44|Reliability:23|Structural:29",1.558198690,6,7,802.829223633,1492.820556641,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.955138266,0.995559990,0.033835713,0.000000000,0.044861730,0.000760000,257.747314453,false,"global_robust",7,1,1.814473748,802.829223633,2.546853542,1492.820556641,189,84,1,4
9,0.464853883,-0.003692457,0.000000000,0.000000000,0.000000000,0,1.000000000,13,1.311069369,1.426309228,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,100,"ConstraintPropagation:6|Cost:6|Performance:6|Refactor:38|Reliability:20|Structural:24",1.538491368,6,13,300.679931641,1031.542114258,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.915499985,0.000000000,0.954994142,0.995559990,0.032685716,0.000000000,0.045005865,0.000840000,257.747314453,false,"global_robust",13,1,0.964560986,300.679931641,2.622841835,1031.542114258,702,312,1,4
10,0.461154312,-0.003699565,0.000000000,0.000000000,0.000000000,0,1.000000000,12,0.875199258,1.635945559,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,116,"ConstraintPropagation:7|Cost:7|Performance:7|Refactor:44|Reliability:23|Structural:28",1.539913058,6,12,328.502502441,937.049682617,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.932114303,0.000000000,0.958939075,0.995480001,0.024814285,0.000000000,0.041060951,0.000900000,257.747314453,false,"global_robust",12,1,1.008038163,328.502502441,2.413820744,937.049682617,594,264,1,4
11,0.457454741,-0.003699565,0.000000000,0.000000000,0.000000000,0,1.000000000,6,1.700424671,1.646899223,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,116,"ConstraintPropagation:7|Cost:7|Performance:7|Refactor:44|Reliability:23|Structural:28",1.539913058,6,6,860.343444824,1575.970825195,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.932114303,0.000000000,0.958939075,0.995480001,0.024814285,0.000000000,0.041060951,0.000900000,257.747314453,false,"global_robust",6,1,2.278270483,860.343444824,3.411209822,1575.970825195,135,60,1,4
