depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,2.653203249,4.465853214,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,650.032409668,1125.889160156,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.053740628,0.500000000,0.996079981,0.000000000,0.007852364,0.000000000,0.000000000,329.442565918,false,"global_robust",3,3,4.499999046,650.032409668,7.794227123,1125.889160156,27,12,2,3
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,9,1.894662261,1.874802589,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,9,104.989181519,314.967529297,0.288328648,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.045772675,0.554541171,0.996079981,0.014550000,0.040736776,0.284146607,0.000600000,329.442565918,false,"global_robust",9,0,0.159395441,104.989181519,0.478186339,314.967529297,324,144,0,4
3,0.487531245,-0.003986626,0.000000000,0.000000000,0.000000000,0,1.000000000,15,1.550978899,0.110878058,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,81,"ConstraintPropagation:8|Cost:5|Performance:5|Refactor:28|Reliability:15|Structural:20",1.597325206,6,15,203.410766602,379.539794922,0.356880933,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.808550358,0.996079981,0.014550000,0.000000000,0.191449657,0.000600000,329.442565918,false,"global_robust",15,1,1.058392286,203.410766602,2.647018433,379.539794922,945,420,1,4
4,0.483688086,-0.003843184,0.000000000,0.000000000,0.000000000,0,1.000000000,13,3.151498556,0.708555281,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,80,"ConstraintPropagation:7|Cost:4|Performance:5|Refactor:28|Reliability:15|Structural:21",1.568636775,6,13,171.247940063,277.973083496,0.393343389,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.870341301,0.996079981,0.029100001,0.000000000,0.129658714,0.000680000,329.442565918,false,"global_robust",13,1,1.424881935,171.247940063,3.853974342,277.973083496,702,312,1,4
5,0.479919136,-0.003768948,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.743433952,1.998584867,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,77,"ConstraintPropagation:7|Cost:3|Performance:5|Refactor:28|Reliability:15|Structural:19",1.553789616,6,7,196.289733887,142.623672485,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.913441658,0.996119976,0.029999999,0.000000000,0.086558364,0.000720000,329.442565918,false,"global_robust",7,1,1.031544209,196.289733887,0.810819030,142.623672485,189,84,1,4
6,0.476032555,-0.003886583,0.000000000,0.000000000,0.000000000,0,1.000000000,5,1.287550926,2.091072321,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,80,"ConstraintPropagation:9|Cost:4|Performance:5|Refactor:30|Reliability:14|Structural:18",1.577316642,6,5,832.957824707,1391.300659180,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.934413791,0.996079981,0.029999999,0.000000000,0.065586217,0.001200000,329.442565918,false,"global_robust",5,1,2.104418755,832.957824707,3.432282209,1391.300659180,90,40,1,4
7,0.472103685,-0.003928843,0.000000000,0.000000000,0.000000000,0,1.000000000,8,1.598001003,1.467065096,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,72,"ConstraintPropagation:8|Cost:4|Performance:4|Refactor:26|Reliability:14|Structural:16",1.585768580,6,8,521.556701660,1221.430786133,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.908450007,0.000000000,0.937190473,0.995480001,0.031150000,0.000000000,0.062809505,0.001200000,329.442565918,false,"global_robust",8,1,1.641920567,521.556701660,3.230787992,1221.430786133,252,112,1,4
8,0.468174845,-0.003928843,0.000000000,0.000000000,0.000000000,0,1.000000000,5,3.353780270,1.814094663,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,72,"ConstraintPropagation:8|Cost:4|Performance:4|Refactor:26|Reliability:14|Structural:16",1.585768580,6,5,983.122863770,1213.270141602,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.953945041,0.995440006,0.034814287,0.000000000,0.046054948,0.001160000,329.442565918,false,"global_robust",5,1,3.340826988,983.122863770,3.840943098,1213.270141602,90,40,1,4
9,0.464350939,-0.003823930,0.000000000,0.000000000,0.000000000,0,1.000000000,11,2.226882935,1.580906153,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,70,"ConstraintPropagation:6|Cost:4|Performance:4|Refactor:26|Reliability:14|Structural:16",1.564786077,6,11,50.750919342,168.321762085,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.921413660,0.000000000,0.959040463,0.994960010,0.031706493,0.000000000,0.040959511,0.001120000,329.442565918,false,"global_robust",11,1,0.150718838,50.750919342,0.499877870,168.321762085,495,220,1,4
10,0.460534900,-0.003816016,0.000000000,0.000000000,0.000000000,0,1.000000000,8,3.440956831,1.430908799,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,71,"ConstraintPropagation:6|Cost:4|Performance:4|Refactor:26|Reliability:14|Structural:17",1.563203096,6,8,171.501647949,261.726165771,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.932114303,0.000000000,0.959709346,0.994880021,0.024814285,0.000000000,0.040290639,0.001200000,329.442565918,false,"global_robust",8,1,0.972585320,171.501647949,1.114726663,261.726165771,252,112,1,4
