depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,1.537959456,2.163959503,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,787.687133789,1364.314208984,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.069622472,0.500000000,0.996079981,0.000000000,0.004445806,0.000000000,0.000000000,198.512847900,false,"global_robust",3,3,3.180288792,787.687133789,5.508421898,1364.314208984,27,12,2,3
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,10,1.927774787,1.271471381,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,10,94.490806580,298.806152344,0.288328648,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.069843955,0.792281032,0.996079981,0.014550000,0.015781704,0.207718983,0.000600000,198.512847900,false,"global_robust",10,0,0.142435193,94.490806580,0.450419635,298.806152344,405,180,0,4
3,0.487579614,-0.003938276,0.000000000,0.000000000,0.000000000,0,1.000000000,38,0.660199523,-0.184816554,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,130,"ConstraintPropagation:12|Cost:8|Performance:8|Refactor:46|Reliability:24|Structural:32",1.587655306,6,38,55.663238525,209.657852173,0.856880128,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,1.000000000,0.996159971,0.014550000,0.000000000,0.000000000,0.000600000,198.512847900,false,"global_robust",38,2,0.402157962,55.663238525,1.693714499,209.657852173,6327,2812,2,4
4,0.483697742,-0.003881852,0.000000000,0.000000000,0.000000000,0,1.000000000,17,1.986069679,0.881275058,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,130,"ConstraintPropagation:12|Cost:7|Performance:8|Refactor:46|Reliability:24|Structural:33",1.576370358,6,17,164.994674683,301.935302734,0.897122324,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.982700527,0.996159971,0.022671429,0.000000000,0.017299498,0.000600000,198.512847900,false,"global_robust",17,1,1.226507902,164.994674683,3.129442930,301.935302734,1224,544,1,4
5,0.479903936,-0.003793804,0.000000000,0.000000000,0.000000000,0,1.000000000,15,0.598506808,1.665711045,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,128,"ConstraintPropagation:11|Cost:6|Performance:8|Refactor:46|Reliability:24|Structural:33",1.558760881,6,15,110.815956116,234.295501709,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.889707148,0.000000000,0.987025380,0.996079981,0.026335714,0.000000000,0.012974623,0.000680000,198.512847900,false,"global_robust",15,1,0.604555428,110.815956116,0.636044741,234.295501709,945,420,1,4
6,0.476063907,-0.003840051,0.000000000,0.000000000,0.000000000,0,1.000000000,12,1.929672956,1.635167599,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,112,"ConstraintPropagation:10|Cost:6|Performance:7|Refactor:42|Reliability:22|Structural:25",1.568010211,6,12,63.824798584,188.191574097,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.987025380,0.996079981,0.029999999,0.000000000,0.012974623,0.000680000,198.512847900,false,"global_robust",12,1,0.371599644,63.824798584,0.561235905,188.191574097,594,264,1,4
7,0.472290665,-0.003773222,0.000000000,0.000000000,0.000000000,0,1.000000000,5,3.419831514,2.117064953,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,103,"ConstraintPropagation:10|Cost:5|Performance:6|Refactor:40|Reliability:21|Structural:21",1.554644346,6,5,449.599456787,392.843292236,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907750010,0.000000000,0.987025380,0.995999992,0.038199998,0.000000000,0.012974623,0.001040000,198.512847900,false,"global_robust",5,1,1.549773932,449.599456787,0.373388052,392.843292236,90,40,1,4
8,0.468571872,-0.003718801,0.000000000,0.000000000,0.000000000,0,1.000000000,10,3.215897083,0.694928765,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,65,"ConstraintPropagation:6|Cost:3|Performance:4|Refactor:26|Reliability:13|Structural:13",1.543760180,6,10,142.848648071,190.782394409,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.982473493,0.995559990,0.034814287,0.000000000,0.017526519,0.001200000,198.512847900,false,"global_robust",10,1,0.672989905,142.848648071,0.582336485,190.782394409,405,180,1,4
9,0.464855343,-0.003716526,0.000000000,0.000000000,0.000000000,0,1.000000000,8,2.386455774,1.688583016,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,109,"ConstraintPropagation:10|Cost:5|Performance:7|Refactor:44|Reliability:21|Structural:22",1.543305159,6,8,197.058959961,183.612976074,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.923200011,0.000000000,0.978554249,0.995559990,0.032299999,0.000000000,0.021445747,0.001200000,198.512847900,false,"global_robust",8,1,0.748099029,197.058959961,0.465623796,183.612976074,252,112,1,4
10,0.461264223,-0.003591127,0.000000000,0.000000000,0.000000000,0,1.000000000,8,3.164747715,1.649076819,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,96,"ConstraintPropagation:8|Cost:4|Performance:6|Refactor:40|Reliability:20|Structural:18",1.518225431,6,8,198.513092041,182.566162109,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.932114303,0.000000000,0.976062357,0.995480001,0.024814285,0.000000000,0.023937667,0.001200000,198.512847900,false,"global_robust",8,1,0.756675899,198.513092041,0.471896470,182.566162109,252,112,1,4
11,0.457673103,-0.003591127,0.000000000,0.000000000,0.000000000,0,1.000000000,8,3.162738085,1.684243321,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,96,"ConstraintPropagation:8|Cost:4|Performance:6|Refactor:40|Reliability:20|Structural:18",1.518225431,6,8,198.513122559,182.566162109,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.932114303,0.000000000,0.976062357,0.995480001,0.024814285,0.000000000,0.023937667,0.001200000,198.512847900,false,"global_robust",8,1,0.756754279,198.513122559,0.471925259,182.566162109,252,112,1,4
