depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,1.132225633,2.377793789,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,636.166625977,1101.872924805,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.052311301,0.500000000,0.996079981,0.000000000,0.007287379,0.000000000,0.000000000,179.599243164,false,"global_robust",3,3,2.601167440,636.166625977,4.505353928,1101.872924805,27,12,2,3
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,11,3.807828903,6.167821407,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,11,90.237457275,283.847320557,0.788328409,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.040806405,0.792281032,0.996079981,0.014550000,0.040806405,0.207718983,0.000600000,179.599243164,false,"global_robust",11,0,0.452009648,90.237457275,1.057224870,283.847320557,495,220,0,4
3,0.487531245,-0.003986626,0.000000000,0.000000000,0.000000000,0,1.000000000,11,2.056255579,0.161573902,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,81,"ConstraintPropagation:8|Cost:5|Performance:5|Refactor:28|Reliability:15|Structural:20",1.597325206,6,11,304.654418945,423.614013672,0.314392447,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.922882497,0.996079981,0.014550000,0.000000000,0.077117480,0.000600000,179.599243164,false,"global_robust",11,1,1.361122489,304.654418945,3.078179359,423.614013672,495,220,1,4
4,0.483733624,-0.003797644,0.000000000,0.000000000,0.000000000,0,1.000000000,13,3.696402550,0.850540578,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,78,"ConstraintPropagation:6|Cost:4|Performance:5|Refactor:28|Reliability:15|Structural:20",1.559528708,6,13,133.160156250,325.204559326,0.388403744,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.922882497,0.996159971,0.028650001,0.000000000,0.077117480,0.000600000,179.599243164,false,"global_robust",13,1,1.306731224,133.160156250,4.402825356,325.204559326,702,312,1,4
5,0.479865491,-0.003868124,0.000000000,0.000000000,0.000000000,0,1.000000000,14,11.177142143,1.747706771,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,78,"ConstraintPropagation:7|Cost:4|Performance:5|Refactor:28|Reliability:15|Structural:19",1.573624730,6,14,269.517395020,372.606842041,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.945267618,0.996159971,0.029999999,0.000000000,0.054732397,0.000680000,179.599243164,false,"global_robust",14,1,0.872191906,269.517395020,1.174955606,372.606842041,819,364,1,4
6,0.475960761,-0.003904713,0.000000000,0.000000000,0.000000000,0,1.000000000,11,1.084993243,1.544576764,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,68,"ConstraintPropagation:6|Cost:4|Performance:4|Refactor:24|Reliability:14|Structural:16",1.580942631,6,11,138.993041992,254.448287964,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.956096351,0.996159971,0.025264286,0.000000000,0.043903630,0.000680000,179.599243164,false,"global_robust",11,1,0.360427290,138.993041992,0.620331824,254.448287964,495,220,1,4
7,0.472239256,-0.003721514,0.000000000,0.000000000,0.000000000,0,1.000000000,9,1.325782418,1.569115281,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,66,"ConstraintPropagation:6|Cost:3|Performance:4|Refactor:26|Reliability:13|Structural:14",1.544302821,6,9,274.553375244,365.934295654,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.968275785,0.996079981,0.025264286,0.000000000,0.031724226,0.000680000,179.599243164,false,"global_robust",9,1,0.443246275,274.553375244,0.605801105,365.934295654,324,144,1,4
8,0.468520463,-0.003718801,0.000000000,0.000000000,0.000000000,0,1.000000000,10,1.840556741,1.717597842,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,65,"ConstraintPropagation:6|Cost:3|Performance:4|Refactor:26|Reliability:13|Structural:13",1.543760180,6,10,145.413467407,188.211471558,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907750010,0.000000000,0.974294186,0.996079981,0.030449999,0.000000000,0.025705827,0.000760000,179.599243164,false,"global_robust",10,1,0.286737561,145.413467407,0.427585185,188.211471558,405,180,1,4
9,0.464671224,-0.003849233,0.000000000,0.000000000,0.000000000,0,1.000000000,11,1.353915930,2.039517879,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,78,"ConstraintPropagation:8|Cost:4|Performance:5|Refactor:30|Reliability:14|Structural:17",1.569846630,6,11,27.026319504,78.394592285,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.977641642,0.996039987,0.034100000,0.000000000,0.022358365,0.001160000,179.599243164,false,"global_robust",11,1,0.150972679,27.026319504,0.354327679,78.394592285,495,220,1,4
10,0.460797191,-0.003874048,0.000000000,0.000000000,0.000000000,0,1.000000000,13,39.476570129,1.724184275,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,72,"ConstraintPropagation:7|Cost:4|Performance:4|Refactor:26|Reliability:14|Structural:17",1.574809670,6,13,213.837966919,432.997711182,0.951977372,0.000000000,0.000000000,0.000000000,0.000000000,0.920949996,0.000000000,0.977641642,0.995639980,0.033042856,0.000000000,0.022358365,0.001200000,179.599243164,false,"global_robust",13,1,5.830001831,213.837966919,16.292919159,432.997711182,702,312,1,4
11,0.457072407,-0.003724771,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.724870861,2.201189041,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,68,"ConstraintPropagation:6|Cost:3|Performance:4|Refactor:26|Reliability:14|Structural:15",1.544954181,6,7,250.521911621,520.493225098,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.920949996,0.000000000,0.977641642,0.995639980,0.033042856,0.000000000,0.022358365,0.001200000,179.599243164,false,"global_robust",7,1,0.857468784,250.521911621,1.942212224,520.493225098,189,84,1,4
