depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,0.984736145,2.241950750,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,288.092132568,498.990234375,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.060486812,0.500000000,0.996079981,0.000000000,0.007994711,0.000000000,0.000000000,282.839752197,false,"global_robust",3,3,2.371596336,288.092132568,4.107725143,498.990234375,27,12,2,3
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,8,1.970876098,1.120147586,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,8,118.115470886,334.080993652,0.288328648,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.061428055,0.558730960,0.996079981,0.014550000,0.014740229,0.351185650,0.000600000,282.839752197,false,"global_robust",8,0,0.179075554,118.115470886,0.506502151,334.080993652,252,112,0,4
3,0.487528592,-0.003989293,0.000000000,0.000000000,0.000000000,0,1.000000000,16,4.496927261,1.109364986,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,125,"ConstraintPropagation:11|Cost:8|Performance:8|Refactor:42|Reliability:24|Structural:32",1.597858667,6,16,133.268844604,312.188232422,0.856880844,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.023062518,0.891294003,0.996680021,0.014550000,0.023062518,0.108706012,0.000600000,282.839752197,false,"global_robust",16,0,0.451335996,133.268844604,0.629797816,312.188232422,1080,480,0,4
4,0.483646750,-0.003881852,0.000000000,0.000000000,0.000000000,0,1.000000000,10,38.512565613,0.735073090,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,130,"ConstraintPropagation:12|Cost:7|Performance:8|Refactor:46|Reliability:24|Structural:33",1.576370358,6,10,340.361083984,583.678771973,0.893343270,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.903125942,0.996159971,0.029100001,0.000000000,0.096874066,0.000680000,282.839752197,false,"global_robust",10,1,0.832321048,340.361083984,1.066178679,583.678771973,405,180,1,4
5,0.479862303,-0.003784436,0.000000000,0.000000000,0.000000000,0,1.000000000,14,0.570731938,1.690111876,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,125,"ConstraintPropagation:12|Cost:5|Performance:8|Refactor:46|Reliability:24|Structural:30",1.556887150,6,14,111.283767700,258.097656250,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.954467058,0.996159971,0.029999999,0.000000000,0.045532923,0.000680000,282.839752197,false,"global_robust",14,1,0.555718482,111.283767700,0.564382613,258.097656250,819,364,1,4
6,0.475986689,-0.003875624,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.985799015,1.778479099,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,113,"ConstraintPropagation:11|Cost:6|Performance:7|Refactor:42|Reliability:22|Structural:25",1.575124741,6,10,205.867034912,407.244445801,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.956517577,0.996079981,0.029999999,0.000000000,0.043482404,0.000760000,282.839752197,false,"global_robust",10,1,0.666357398,205.867034912,0.646593928,407.244445801,405,180,1,4
7,0.472130328,-0.003856340,0.000000000,0.000000000,0.000000000,0,1.000000000,4,0.003597303,1.759533525,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,115,"ConstraintPropagation:12|Cost:6|Performance:7|Refactor:44|Reliability:22|Structural:24",1.571267962,6,4,240.164474487,277.318054199,0.499999881,0.000000000,0.000000000,0.000000000,0.000000000,0.908450007,0.000000000,0.963641107,0.996079981,0.031150000,0.000000000,0.036358878,0.001200000,282.839752197,false,"global_robust",4,1,0.747842848,240.164474487,0.929433465,277.318054199,54,24,1,4
8,0.469756514,-0.002373821,0.000000000,0.000000000,0.000000000,0,1.000000000,7,17553.482421875,1.365158916,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,37,"ConstraintPropagation:3|Performance:3|Refactor:20|Reliability:8|Structural:3",1.274764180,5,7,2179.687255859,4090.859863281,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.968728662,0.996079981,0.034364287,0.000000000,0.031271346,0.001280000,282.839752197,false,"global_robust",7,1,122.034820557,2179.687255859,247.157409668,4090.859863281,189,84,1,4
9,0.466488689,-0.003267823,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.015177196,1.251880169,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,84,"ConstraintPropagation:6|Cost:2|Performance:6|Refactor:38|Reliability:18|Structural:14",1.453564644,6,6,75.063629150,183.867584229,0.499999970,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.961580276,0.996159971,0.034814287,0.000000000,0.038419694,0.001280000,282.839752197,false,"global_robust",6,1,0.214503527,75.063629150,0.525424182,183.867584229,135,60,1,4
10,0.464170575,-0.002318128,0.000000000,0.000000000,0.000000000,0,1.000000000,6,1146.632202148,2.205219746,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,52,"ConstraintPropagation:4|Performance:4|Refactor:28|Reliability:12|Structural:4",1.263625622,5,6,210.252319336,328.519866943,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,282.839752197,false,"global_robust",6,1,4.341280460,210.252319336,5.717624187,328.519866943,135,60,1,4
